L1CAM	PRNP
CAV1	PRNP
NCAM2	PRNP
DNM1	PRNP
APBB1	PRNP
APOB	PPIB
ADAM23	PRNP
PRNP	STIP1
PRNP	SPARCL1
P4HB	PRNP
CNTN1	PRNP
OPCML	PRNP
PRNP	PVRL1
LSAMP	PRNP
CLSTN1	PRNP
MOG	PRNP
APOB	HSPA5
ERI3	PRNP
PHB	RB1
PHB	RBL2
E2F1	PHB
PHB	TP53
PHB	SMARCA2
MAP3K10	PHB
NCOR1	PHB
HDAC1	PHB
PHB	SMARCA4
APOB	HSPA1A
PHB	SIN3A
ATF7IP	COL4A2
SMAD9	ZNF484
INS	LRP2
IGFBP7	INS
HLA	INS
INS	SYTL4
INS	TXNDC17
APOB	HSP90AA1
PCNA	RPA1
PCNA	PTMA
PCNA	XRCC1
FEN1	PCNA
PCNA	RFC2
PCNA	SUB1
CDKN1C	PCNA
MSH3	PCNA
PCNA	PRKDC
APOB	LIPC
HDAC1	PCNA
CHAF1A	PCNA
ING1	PCNA
CDC6	PCNA
EP300	PCNA
DHX9	PCNA
CDK6	PCNA
HUS1	PCNA
PCNA	RAD9A
PCNA	POLH
APOB	MTTP
PCNA	WRN
MYBBP1A	PCNA
MUTYH	PCNA
GADD45B	PCNA
GADD45G	PCNA
CCNO	PCNA
APEX2	PCNA
PCNA	POLE
MSH6	PCNA
PCNA	POLB
FLNC	SGCD
APOB	HSP90B1
MCL1	PCNA
SMAD9	ZNF587
DNTT	PCNA
PCNA	XRCC5
PCNA	POLL
DNTTIP2	PCNA
PCNA	POLD3
KCTD13	PCNA
CHTF18	PCNA
DSCC1	PCNA
APOB	BGN
PCNA	POLD2
PCNA	POLM
CHTF8	PCNA
PCNA	POLDIP2
PRLR	PTPN11
PRLR	VAV2
PRLR	TEC
